vikend_delovnik,model_type,n_components,amplitude,mesor,peaks,heights,amplitude_CIs,mesor_CIs,peaks_CIs,heights_CIs,AIC,BIC,log_likelihood,llr_pvalue
delovnik,gen_poisson,10.0,2853.39,3309.42,[ 6.91 15.22],[5443.8  6162.81],[2819.44 2873.12],[3273.2  3329.64],"[[ 6.79  6.99]
 [15.1  15.28]]","[[5294.33 5615.17]
 [6093.5  6201.92]]",56821.609595796705,56959.6902793037,-28388.804797898352,0.0
vikend,gen_poisson,6.0,1836.91,2326.76,[12.61 16.82],[4163.67 4155.84],[1822.66 1868.71],[2314.01 2353.46],"[[11.21 13.39]
 [16.55 16.91]]","[[4128.74 4212.51]
 [4113.86 4220.35]]",17633.2479517506,17705.136423672524,-8802.6239758753,0.0
