,podatki,model_type,n_components,amplitude,mesor,peaks,heights,amplitude_CIs,mesor_CIs,peaks_CIs,heights_CIs,AIC,BIC,log_likelihood,llr_pvalue
0,smartinska_2019,gen_poisson,5.0,603.35,631.22,[11.01 16.42],[1233.69 1234.58],[597.74 614.52],[625.35 642.87],"[[10.71 11.22]
 [16.1  16.74]]","[[1223.06 1241.49]
 [1212.03 1261.45]]",5740.181806149375,5790.971182347981,-2858.0909030746875,0.0
1,J_2019,gen_poisson,7.0,2522.45,3042.06,[ 7.11 15.32],[4508.4 5564.5],[2483.18 2563.46],[2999.75 3080.61],"[[ 6.98  7.28]
 [15.2  15.42]]","[[4336.79 4647.9 ]
 [5484.26 5642.74]]",78798.33694579366,78903.19334772429,-39383.16847289683,0.0
