vreme,model_type,n_components,amplitude,mesor,peaks,heights,amplitude_CIs,mesor_CIs,peaks_CIs,heights_CIs,AIC,BIC,log_likelihood,llr_pvalue
"Clear, Partially Cloudy",gen_poisson,7.0,2488.22,2993.44,[ 7.01 15.22],[4506.26 5481.66],[2457.08 2533.64],[2962.21 3037.6 ],"[[ 6.91  7.22]
 [15.11 15.44]]","[[4315.67 4724.33]
 [5420.44 5570.1 ]]",51839.499093922015,51938.149460726774,-25903.749546961008,0.0
"Snow, Rain, Overcast",gen_poisson,5.0,2612.46,3108.36,[ 7.21 15.42],[4557.78 5720.82],[2562.23 2668.47],[3037.19 3184.99],"[[ 7.09  7.42]
 [15.34 15.55]]","[[4404.5  4678.61]
 [5619.74 5833.14]]",26770.5568113111,26835.58218190411,-13373.27840565555,0.0
