obdobje,model_type,n_components,amplitude,mesor,peaks,heights,amplitude_CIs,mesor_CIs,peaks_CIs,heights_CIs,AIC,BIC,log_likelihood,llr_pvalue
vikend april 2019,gen_poisson,2.0,1694.28,2326.76,[11.21],[4021.03],[1654.67 1743.97],[2285.61 2379.51],[10.82 11.6 ],[3946.57 4117.2 ],1736.5196651380368,1753.244615594729,-862.2598325690184,1.5069285363302817e-73
vikend november 2019,gen_poisson,3.0,1781.03,2272.28,[11.61 15.72],[4053.3  3998.37],[1733.91 1822.94],[2221.89 2324.44],"[[11.11 12.33]
 [15.12 15.97]]","[[3934.6  4158.26]
 [3950.43 4055.23]]",2008.5342281369972,2032.2927345336052,-996.2671140684986,3.561336833568843e-106
vikend april 2020,gen_poisson,3.0,483.76,582.08,[12.01 17.22],[1065.84  965.17],[449.41 513.53],[540.19 615.84],"[[11.02 13.05]
 [16.63 17.97]]","[[ 990.5  1128.46]
 [ 928.71 1023.84]]",1537.0669985091104,1559.3669324513667,-760.5334992545552,6.3941603450230484e-55
vikend november 2020,gen_poisson,2.0,604.73,799.73,[15.72],[1404.46],[573.17 625.3 ],[767.52 818.73],[15.18 16.32],[1343.02 1441.7 ],2603.9980176304543,2623.7578465788015,-1295.9990088152272,5.243250969419986e-83
