obdobje,model_type,n_components,amplitude,mesor,peaks,heights,amplitude_CIs,mesor_CIs,peaks_CIs,heights_CIs,AIC,BIC,log_likelihood,llr_pvalue
april 2019,gen_poisson,5.0,2522.18,3013.87,[ 7.21 15.22],[4919.8  5536.05],[2425.91 2597.33],[2913.33 3091.03],"[[ 7.06  7.25]
 [15.08 15.41]]","[[4720.71 5220.11]
 [5341.69 5685.89]]",7641.433847412964,7692.1047626298205,-3808.716923706482,0.0
november 2019,gen_poisson,5.0,2615.95,3063.8,[ 7.31 15.32],[4450.64 5679.76],[2533.8  2704.83],[2989.14 3147.38],"[[ 6.95  7.77]
 [15.19 15.6 ]]","[[4118.67 4952.67]
 [5524.77 5850.38]]",7749.033276472314,7799.70419168917,-3862.516638236157,2.087383553283328e-291
april 2020,gen_poisson,5.0,1065.9,1241.1,[ 6.71 11.91 14.91],[1933.04 2042.   2307.  ],[ 999.09 1139.13],[1176.31 1308.12],"[[ 6.48  7.  ]
 [11.   12.16]
 [14.65 15.33]]","[[1729.   2239.8 ]
 [1927.21 2220.69]
 [2171.2  2444.16]]",7302.537246773836,7353.23194792514,-3639.268623386918,4.9676638260232816e-222
november 2020,gen_poisson,5.0,1118.82,1371.95,[ 7.41 12.21 15.92],[2445.32 2057.38 2490.77],[1090.95 1182.64],[1339.87 1434.95],"[[ 7.22  7.6 ]
 [11.68 12.56]
 [15.7  16.14]]","[[2339.87 2552.52]
 [1970.62 2192.07]
 [2411.21 2613.45]]",11679.045226412138,11735.716783950404,-5827.522613206069,0.0
