Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Ljubljana","10/19/2020 00:00:00",7.1,7.1,7.1,6.0,92.72,,0.0,0.2,359.0,,0.0,,,6.2,1.1,1024.7,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/19/2020 01:00:00",7.5,7.5,7.5,6.0,90.43,,2.0,4.3,201.0,,0.0,,,6.2,1.1,1025.1,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/19/2020 02:00:00",6.6,6.6,6.6,5.8,94.58,,1.1,4.5,,,0.0,,,6.2,1.1,1025.4,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/19/2020 03:00:00",6.5,6.5,6.5,5.7,94.05,,2.5,5.4,216.0,,0.0,,,6.2,1.1,1025.5,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/19/2020 04:00:00",6.6,6.6,6.6,5.6,93.35,,2.4,4.7,216.0,,0.0,,,6.2,1.1,1025.5,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/19/2020 05:00:00",6.3,6.3,6.3,5.8,96.5,,2.2,4.5,249.0,,0.0,,,0.1,1.1,1025.5,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/19/2020 06:00:00",6.5,6.5,6.5,6.0,96.73,,1.6,3.6,200.0,,0.0,,,0.0,1.1,1025.5,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/19/2020 07:00:00",6.5,6.5,6.5,5.8,95.34,,0.9,3.4,264.0,,0.0,,,0.6,1.2,1025.6,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/19/2020 08:00:00",6.5,6.5,6.5,6.0,96.73,,2.2,2.2,210.0,,0.0,,,0.6,3.1,1026.0,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/19/2020 09:00:00",6.6,6.6,6.6,5.9,95.12,,0.7,4.7,248.0,,0.0,,,0.6,1.2,1026.5,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/19/2020 10:00:00",7.1,7.1,7.1,5.9,91.97,,1.4,3.1,126.0,,0.0,,,0.6,1.2,1026.7,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/19/2020 11:00:00",7.6,7.6,7.6,6.1,90.01,,0.7,3.8,352.0,,0.0,,,0.6,96.9,1026.8,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Overcast"
"Ljubljana","10/19/2020 12:00:00",11.0,11.0,11.0,7.9,81.09,,0.7,3.4,79.0,,0.0,,,3.1,77.6,1026.1,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Overcast"
"Ljubljana","10/19/2020 13:00:00",12.0,12.0,12.0,7.7,74.68,,1.1,5.6,71.0,,0.0,,,6.2,39.3,1025.3,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana","10/19/2020 14:00:00",13.3,13.3,13.3,7.4,67.46,,2.2,6.7,51.0,,0.0,,,12.3,61.3,1024.5,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana","10/19/2020 15:00:00",13.0,13.0,13.0,6.7,65.25,,1.6,5.1,31.0,,0.0,,,18.5,77.6,1023.8,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Overcast"
"Ljubljana","10/19/2020 16:00:00",13.0,13.0,13.0,6.6,65.13,,0.2,6.3,31.0,,0.0,,,6.2,1.1,1023.6,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/19/2020 17:00:00",13.0,13.0,13.0,6.6,64.85,,1.1,4.5,360.0,,0.0,,,18.5,77.6,1023.4,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Overcast"
"Ljubljana","10/19/2020 18:00:00",12.5,12.5,12.5,6.9,68.55,,0.7,2.7,20.0,,0.0,,,18.5,77.6,1023.6,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Overcast"
"Ljubljana","10/19/2020 19:00:00",12.0,12.0,12.0,7.4,73.11,,0.7,2.7,10.0,,0.0,,,12.3,87.2,1023.9,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Overcast"
"Ljubljana","10/19/2020 20:00:00",11.7,11.7,11.7,8.0,78.19,,0.0,2.2,0.0,,0.0,,,12.3,77.6,1024.1,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Overcast"
"Ljubljana","10/19/2020 21:00:00",10.9,10.9,10.9,8.0,82.37,,0.3,2.0,312.0,,0.0,,,12.3,86.7,1024.4,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Overcast"
"Ljubljana","10/19/2020 22:00:00",9.4,9.4,9.4,7.5,87.77,,0.0,1.6,359.0,,0.0,,,12.3,57.7,1024.8,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana","10/19/2020 23:00:00",8.3,8.3,8.3,7.1,92.3,,4.7,2.2,280.0,7.1,0.0,,,6.2,0.3,1025.2,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/20/2020 00:00:00",7.6,7.6,7.6,6.5,92.94,,0.2,3.8,9.0,,0.0,,,6.2,0.3,1025.3,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/20/2020 01:00:00",7.1,7.1,7.1,6.3,94.73,,0.9,2.9,335.0,,0.0,,,6.2,0.6,1025.5,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/20/2020 02:00:00",7.6,7.6,7.6,7.0,96.12,,2.2,4.5,270.0,,0.0,,,6.2,0.3,1025.6,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/20/2020 03:00:00",7.6,7.6,7.6,6.8,94.85,,2.0,4.5,40.0,,0.0,,,6.2,0.6,1025.3,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/20/2020 04:00:00",7.5,7.5,7.5,6.8,95.55,,1.5,3.4,40.0,,0.0,,,6.2,0.3,1025.1,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/20/2020 05:00:00",7.5,7.5,7.5,6.8,95.03,,2.2,2.2,,,0.0,,,0.0,1.2,1024.9,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/20/2020 06:00:00",7.5,7.5,7.5,6.6,94.36,,0.0,3.1,360.0,,0.0,,,0.0,1.2,1025.0,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/20/2020 07:00:00",7.1,7.1,7.1,6.6,96.76,,2.9,6.0,83.0,,0.0,,,0.0,0.6,1025.4,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/20/2020 08:00:00",7.0,7.0,7.0,6.3,95.56,,2.3,4.5,43.0,,0.0,,,0.7,1.1,1025.8,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/20/2020 09:00:00",7.1,7.1,7.1,6.3,94.83,,0.7,3.4,22.0,,0.0,,,0.7,1.1,1026.3,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/20/2020 10:00:00",7.6,7.6,7.6,6.6,93.46,,0.2,3.1,326.0,,0.0,,,0.7,96.3,1026.6,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Overcast"
"Ljubljana","10/20/2020 11:00:00",8.5,8.5,8.5,6.6,88.19,,2.3,4.5,258.0,,0.0,,,1.9,86.4,1026.6,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Overcast"
"Ljubljana","10/20/2020 12:00:00",10.5,10.5,10.5,7.0,79.14,,2.0,6.3,248.0,,0.0,,,2.5,58.0,1026.3,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana","10/20/2020 13:00:00",12.1,12.1,12.1,7.2,71.71,,2.9,6.5,225.0,,0.0,,,7.4,38.9,1025.4,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana","10/20/2020 14:00:00",12.3,12.3,12.3,9.0,80.03,,3.3,,184.0,,0.0,,,6.2,57.2,,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana","10/20/2020 15:00:00",15.0,15.0,15.0,8.4,64.38,,3.5,8.1,247.0,,0.0,,,15.4,58.0,1023.7,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana","10/20/2020 16:00:00",15.5,15.5,15.5,7.6,59.07,,7.8,16.1,239.0,,0.0,,,6.2,1.1,1023.3,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/20/2020 17:00:00",15.0,15.0,15.0,7.1,59.24,,6.7,15.7,230.0,,0.0,,,15.4,58.5,1023.2,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana","10/20/2020 18:00:00",13.9,13.9,13.9,6.9,62.42,,5.4,13.6,226.0,,0.0,,,15.4,77.6,1023.1,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Overcast"
"Ljubljana","10/20/2020 19:00:00",12.4,12.4,12.4,6.8,68.75,,6.0,11.0,239.0,,0.0,,,15.4,39.3,1023.4,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana","10/20/2020 20:00:00",11.2,11.2,11.2,6.1,70.96,,4.4,11.2,230.0,,0.0,,,12.3,48.9,1024.1,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana","10/20/2020 21:00:00",10.4,10.4,10.4,6.1,74.72,,4.4,7.6,212.0,,0.0,,,12.3,48.4,1024.2,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana","10/20/2020 22:00:00",9.9,9.9,9.9,6.3,78.35,,3.3,6.7,226.0,9.6,0.0,,,12.3,29.1,1023.9,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana","10/20/2020 23:00:00",10.2,10.2,10.2,6.1,75.74,,2.2,8.9,210.0,,0.0,,,6.2,0.0,1023.9,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/21/2020 00:00:00",8.6,8.6,8.6,6.1,84.58,,2.7,5.4,221.0,,0.0,,,6.2,0.0,1023.8,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/21/2020 01:00:00",8.6,8.6,8.6,6.1,84.49,,2.7,7.8,252.0,,0.0,,,6.2,0.0,1023.5,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/21/2020 02:00:00",8.8,8.8,8.8,6.3,84.55,,2.3,6.7,290.0,,0.0,,,6.2,1.1,1023.2,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/21/2020 03:00:00",7.7,7.7,7.7,5.9,88.25,,1.4,5.8,287.0,,0.0,,,6.2,1.1,1023.1,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/21/2020 04:00:00",9.1,9.1,9.1,6.5,83.91,,2.9,8.9,240.0,,0.0,,,6.2,1.1,1022.5,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
"Ljubljana","10/21/2020 05:00:00",9.1,9.1,9.1,6.8,85.56,,2.3,6.7,250.0,,0.0,,,7.4,38.9,1022.3,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Partially cloudy"
"Ljubljana","10/21/2020 06:00:00",8.3,8.3,8.3,5.0,79.67,,1.1,,,,0.0,,,6.2,7.0,,"",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija","","Clear"
